code,manufacturer,device_name,report_type,optical_readiness,optical_score,pixel_pitch_um,optical_stack_height_um,cfa_pattern,cfa_thickness_um,cfa_thickness_min_um,cfa_thickness_max_um,color_filter_pitch_um,color_filter_pitch_source,microlens_type,ocl_pitch_um,ocl_pitch_source,grid_material,grid_pitch_um,grid_pitch_source,cfa_proxy_nk_enabled,cfa_proxy_applicability,cfa_proxy_library_id,cfa_proxy_thickness_um,cfa_proxy_thickness_source,proxy_t_blue_450,proxy_t_green_550,proxy_t_red_650,proxy_t_clear_550,qe_status,qe_point_count,qe_points,qe_qualitative_count,spectral_range_count,filter_set_count,source_html,model_json
DEF-1311-801,OmniVision,OV07955-E53V-PF,DEF,optical_context_only,44,6.0,5.1,,,,,6.0,inferred_rule,,6.0,inferred_rule,,6.0,inferred_rule,False,unknown_cfa_pattern,common_rgb_color_resist_proxy_2026_06,0.65,inferred_proxy_default,,,,,not_found,0,,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/166_DEF-1311-801.html,models/def_1311_801_omnivision_ov07955_e53v_pf.json
DEF-1405-801,Melexis,MLX75411,DEF,optical_context_only,44,5.5,10.0,,,,,5.5,inferred_rule,,5.5,inferred_rule,,5.5,inferred_rule,False,unknown_cfa_pattern,common_rgb_color_resist_proxy_2026_06,0.65,inferred_proxy_default,,,,,not_found,0,,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/164_DEF-1405-801.html,models/def_1405_801_melexis_mlx75411.json
DEF-1405-802,Leica,X1000,DEF,optical_ready_medium,54,6.0,5.6,,,,,6.0,inferred_rule,ocl,6.0,inferred_rule,,6.0,inferred_rule,False,unknown_cfa_pattern,common_rgb_color_resist_proxy_2026_06,0.65,inferred_proxy_default,,,,,not_found,0,,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/165_DEF-1405-802.html,models/def_1405_802_leica_x1000.json
DEF-1406-801,E2V Technologies,EV76C570,DEF,optical_context_only,44,4.5,6.0,,,,,4.5,inferred_rule,,4.5,inferred_rule,,4.5,inferred_rule,False,unknown_cfa_pattern,common_rgb_color_resist_proxy_2026_06,0.65,inferred_proxy_default,,,,,not_found,0,,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/163_DEF-1406-801.html,models/def_1406_801_e2v_technologies_ev76c570.json
DEF-1407-802,OmniVision,OV10635-N29Y-PB,DEF,optical_context_only,44,4.2,5.5,,,,,4.2,inferred_rule,,4.2,inferred_rule,,4.2,inferred_rule,False,unknown_cfa_pattern,common_rgb_color_resist_proxy_2026_06,0.65,inferred_proxy_default,,,,,not_found,0,,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/161_DEF-1407-802.html,models/def_1407_802_omnivision_ov10635_n29y_pb.json
DEF-1407-803,Galaxycore Inc,GC5004,DEF,optical_context_only,44,1.4,2.0,,,,,1.4,inferred_rule,,1.4,inferred_rule,,1.4,inferred_rule,False,unknown_cfa_pattern,common_rgb_color_resist_proxy_2026_06,0.65,inferred_proxy_default,,,,,not_found,0,,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/162_DEF-1407-803.html,models/def_1407_803_galaxycore_inc_gc5004.json
DEF-1408-801,OmniVision,OV5670,DEF,optical_context_only,28,1.4,,,,,,1.4,inferred_rule,,1.4,inferred_rule,,1.4,inferred_rule,False,unknown_cfa_pattern,common_rgb_color_resist_proxy_2026_06,0.65,inferred_proxy_default,,,,,not_found,0,,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/160_DEF-1408-801.html,models/def_1408_801_omnivision_ov5670.json
DEF-1412-801,Sony,IMX210AQL,DEF,optical_context_only,44,3.9,6.8,,,,,3.9,inferred_rule,,3.9,inferred_rule,,3.9,inferred_rule,False,unknown_cfa_pattern,common_rgb_color_resist_proxy_2026_06,0.65,inferred_proxy_default,,,,,not_found,0,,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/159_DEF-1412-801.html,models/def_1412_801_sony_imx210aql.json
DEF-1503-802,SmartSens,SC1035,DEF,optical_context_only,44,4.0,4.6,,,,,4.0,inferred_rule,,4.0,inferred_rule,,4.0,inferred_rule,False,unknown_cfa_pattern,common_rgb_color_resist_proxy_2026_06,0.65,inferred_proxy_default,,,,,not_found,0,,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/158_DEF-1503-802.html,models/def_1503_802_smartsens_sc1035.json
DEF-1506-804,E2V Technologies,LINCE5M,DEF,optical_context_only,44,5.0,7.1,,,,,5.0,inferred_rule,,5.0,inferred_rule,,5.0,inferred_rule,False,unknown_cfa_pattern,common_rgb_color_resist_proxy_2026_06,0.65,inferred_proxy_default,,,,,not_found,0,,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/157_DEF-1506-804.html,models/def_1506_804_e2v_technologies_lince5m.json
