rank,code,candidate_level,tcad_score,geometry_score,manufacturer,device_name,report_type,pixel_pitch_um,active_si_thickness_um,dti_type,dti_depth_um,dti_width_nm,transfer_gate_type,pixel_architecture,doping_table_count,doping_row_count,region_depth_count,html_snippet_count,pdf_snippet_count,source_html,source_pdf
1,DEP-2511-801,measured_doping_table,26,8,Samsung,HP5,DEP,0.5,4.0,full_depth_front_dti,4.2,95.4,dual_vertical_transfer_gate,eight_shared,2,12,20,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/reports/003_DEP-2511-801.html,
2,DEP-2506-801,measured_doping_table,25,7,Samsung,JNP (S5KJNP),DEP,0.64,3.8,full_depth_front_dti,3.8,96.0,dual_vertical_transfer_gate,eight_shared,2,15,15,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/reports/004_DEP-2506-801.html,
3,DEP-2504-801,measured_doping_table,25,7,Sony,IMX487-AAMJ-C,DEP,2.74,3.1,full_depth_front_dti,3.0,,vertical_transfer_gate,four_shared,2,14,18,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/reports/005_DEP-2504-801.html,
4,DEP-2505-802,measured_doping_table,25,7,SmartSens,SC550XS,DEP,1.0,2.9,partial_depth_back_dti,0.18,180.0,,four_shared,2,14,17,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/reports/007_DEP-2505-802.html,
5,DEP-2409-801,measured_doping_table,25,7,Samsung,S5KGNJSP03_CIS,DEP,1.0,4.2,full_depth_front_dti,4.1,87.9,dual_vertical_transfer_gate,super_qpd,1,13,20,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/reports/011_DEP-2409-801.html,
6,DEP-2412-801,measured_doping_table,25,7,Sony,IMX900,DEP,2.25,6.0,full_depth_front_dti,1.9,185.0,,quad_pixel,2,13,18,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/reports/009_DEP-2412-801.html,
7,DEP-2411-801,measured_doping_table,24,6,OmniVision,OX08D10,DEP,2.1,3.0,partial_depth_back_dti,2.3,190.0,,standalone,2,14,15,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/reports/010_DEP-2411-801.html,
8,DEP-2511-802,measured_doping_table,24,6,STMicroelectronics,56G812A1A_CIS,DEP,2.9,9.7,full_depth_front_dti,0.48,480.0,,standalone,2,13,8,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/reports/002_DEP-2511-802.html,
9,DEP-2407-801,measured_doping_table,22,4,SmartSens,SC100AT-CS1AF00,DEP,3.0,2.3,back_dti,,,,standalone,1,13,20,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/reports/012_DEP-2407-801.html,
10,DEF-2603-801,geometry_plus_process_evidence,13,10,Samsung,S5K931SX,DEF,2.2,7.3,full_depth_front_dti,7.0,166.0,vertical_transfer_gate,standalone,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/006_DEF-2603-801.html,
11,DEF-2509-801,region_depths_and_process_evidence,12,8,OmniVision,OG05C10_CIS,DEF,3.45,5.9,full_depth_front_dti,,240.0,,standalone,0,0,1,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/017_DEF-2509-801.html,
12,DEF-2502-802,geometry_plus_process_evidence,11,8,Sony,IMX487-AAMJ-C,DEF,2.74,3.0,back_dti,,,vertical_transfer_gate,four_shared,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/025_DEF-2502-802.html,
13,DEF-2505-803,geometry_plus_process_evidence,11,8,SmartSens,SC550XS,DEF,1.0,2.9,back_dti,2.0,,,quad_pixel,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/024_DEF-2505-803.html,
14,DEF-2506-803,geometry_plus_process_evidence,11,8,Sony,ISX031_CIS,DEF,3.0,3.2,full_depth_front_dti,,,vertical_transfer_gate,standalone,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/019_DEF-2506-803.html,
15,DEF-2509-802,geometry_plus_process_evidence,11,8,Sony,IMX914,DEF,1.0,3.6,full_depth_front_dti,2.4,,,quad_pixel,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/015_DEF-2509-802.html,
16,DEF-2511-802,geometry_plus_process_evidence,11,8,Samsung,HP5,DEF,0.5,4.0,full_depth_front_dti,,,dual_vertical_transfer_gate,eight_shared,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/014_DEF-2511-802.html,
17,DEF-2511-803,geometry_plus_process_evidence,11,8,STMicroelectronics,56G812A1A_CIS,DEF,2.9,9.7,full_depth_front_dti,9.4,,,standalone,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/013_DEF-2511-803.html,
18,DEF-2602-801,geometry_plus_process_evidence,11,8,SmartSens,SC485SL-CS3NNH0,DEF,2.9,3.2,partial_depth_back_dti,2.4,,,quad_pixel,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/008_DEF-2602-801.html,
19,DEF-2603-802,geometry_plus_process_evidence,11,8,OmniVision,OV50X,DEF,1.6,3.0,partial_depth_back_dti,2.0,,,quad_pixel,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/007_DEF-2603-802.html,
20,DEF-2603-803,geometry_plus_process_evidence,11,8,OmniVision,L3A_Triple-Gimbal-Cam1_CIS,DEF,1.45,3.0,partial_depth_back_dti,1.9,,,quad_pixel,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/005_DEF-2603-803.html,
21,DEF-2604-801,geometry_plus_process_evidence,11,8,Sony,LYT-901,DEF,0.7,4.5,partial_depth_back_dti,,,vertical_transfer_gate,quad_pixel,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/003_DEF-2604-801.html,
22,DEF-2604-802,geometry_plus_process_evidence,11,8,Samsung,3LD (S5K3LD),DEF,1.0,3.2,full_depth_front_dti,,,dual_vertical_transfer_gate,four_shared,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/001_DEF-2604-802.html,
23,DEF-2605-801,geometry_plus_process_evidence,11,8,OmniVision,OV52A,DEF,0.61,3.0,partial_depth_back_dti,,,vertical_transfer_gate,eight_shared,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/002_DEF-2605-801.html,
24,DEP-2405-801,geometry_plus_process_evidence,11,8,Samsung,S5K1H1SB_CIS,DEP,2.1,2.9,full_depth_front_dti,2.6,125.0,vertical_transfer_gate,standalone,0,0,0,3,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/reports/013_DEP-2405-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/pdfs/013_DEP-2405-801/Samsung_1H1_DEP-2405-801.pdf
25,DEF-2201-801,geometry_plus_process_evidence,10,7,OmniVision,OV60A,DEF,0.61,2.9,partial_depth_back_dti,2.0,,vertical_transfer_gate,eight_shared,0,0,0,4,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/082_DEF-2201-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/082_DEF-2201-801/OmniVision_OV60A_CIS_Motorola_Edge_X30_DEF-2201-801.pdf
26,DEF-2412-801,geometry_plus_process_evidence,10,7,Sony,LYT-818,DEF,1.22,3.2,partial_depth_back_dti,,,,quad_pixel,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/026_DEF-2412-801.html,
27,DEF-2412-802,geometry_plus_process_evidence,10,7,SmartSens,PLA-AL10_Dual-Rear-Cam2-4_CIS,DEF,1.22,3.1,partial_depth_back_dti,,,,four_shared,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/027_DEF-2412-802.html,
28,DEF-2412-804,geometry_plus_process_evidence,10,7,OPPO,Reno12,DEF,0.7,2.7,partial_depth_back_dti,,,,eight_shared,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_def_a6pf30000000GqhAAE/html/reports/002_DEF-2412-804.html,
29,DEF-2504-802,geometry_plus_process_evidence,10,7,OmniVision,OX12A10,DEF,2.1,3.0,partial_depth_back_dti,,,,standalone,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/022_DEF-2504-802.html,
30,DEF-2506-802,geometry_plus_process_evidence,10,7,Samsung,JNP (S5KJNP),DEF,0.64,3.8,,,,dual_vertical_transfer_gate,eight_shared,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/021_DEF-2506-802.html,
31,DEF-2508-801,geometry_plus_process_evidence,10,7,Unknown,LMR-AL10_Ultra_Dual-Rear-Cam2_CIS,DEF,1.22,3.1,partial_depth_back_dti,,,,quad_pixel,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/018_DEF-2508-801.html,
32,DEF-2512-801,geometry_plus_process_evidence,10,7,Galaxycore Inc,GC50F6,DEF,0.61,3.0,partial_depth_back_dti,,,,eight_shared,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/012_DEF-2512-801.html,
33,DEF-2601-802,geometry_plus_process_evidence,10,7,STMicroelectronics,55G1BA_CIS,DEF,2.16,5.9,full_depth_front_dti,,,,standalone,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/010_DEF-2601-802.html,
34,DEF-2601-804,geometry_plus_process_evidence,10,7,OmniVision,OX05C1S_CIS,DEF,2.2,5.9,full_depth_front_dti,,,,two_shared,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/009_DEF-2601-804.html,
35,DEF-2603-804,geometry_plus_process_evidence,10,7,Sony,IMX775,DEF,2.1,6.7,full_depth_front_dti,,,,standalone,0,0,0,8,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/004_DEF-2603-804.html,
36,DEP-2103-802,geometry_plus_process_evidence,10,7,Leopard Imaging Inc,LI-IMX490-GW5400,DEP,3.0,3.1,full_depth_front_dti,2.3,175.0,vertical_transfer_gate,standalone,0,0,0,5,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_dep_a6pf30000009PYHAA2/html/reports/017_DEP-2103-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_dep_a6pf30000009PYHAA2/html/pdfs/017_DEP-2103-802/Sony IMX490_DEP-2103-802.pdf
37,DEP-2206-801,geometry_plus_process_evidence,10,7,Sony,IMX662,DEP,2.9,6.6,full_depth_front_dti,0.23,,dual_vertical_transfer_gate,standalone,0,0,0,3,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/reports/026_DEP-2206-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/pdfs/026_DEP-2206-801/Sony_IMX662_DEP-2206-801.pdf
38,DEP-2301-801,geometry_plus_process_evidence,10,7,Sony,IMX758,DEP,0.7,4.5,full_depth_front_dti,3.4,,vertical_transfer_gate,quad_pixel,0,0,0,3,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/reports/024_DEP-2301-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/pdfs/024_DEP-2301-801/Sony_IMX758_DEP-2301-801.pdf
39,DEP-2305-802,geometry_plus_process_evidence,10,7,Sony,XQ-DQ72_Dual-Rear-Cam2_CIS,DEP,1.12,4.4,full_depth_front_dti,3.9,97.0,,quad_pixel,0,0,0,4,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/reports/023_DEP-2305-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/pdfs/023_DEP-2305-802/Sony_2-Layer_Transistor_Pixel_DEP-2305-802.pdf
40,DEF-2201-802,geometry_plus_process_evidence,9,7,OmniVision,OV50A,DEF,1.0,3.0,partial_depth_back_dti,1.7,,vertical_transfer_gate,four_shared,0,0,0,2,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/081_DEF-2201-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/081_DEF-2201-802/OmniVision_OV50A_DEF-2201-802.pdf
41,DEF-2209-801,geometry_plus_process_evidence,9,6,Samsung,HP1,DEF,0.64,3.7,full_depth_front_dti,,,vertical_transfer_gate,four_shared,0,0,0,3,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/072_DEF-2209-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/072_DEF-2209-801/Samsung_S5KHP1SP_DEF-2209-801.pdf
42,DEF-2401-802,geometry_plus_process_evidence,9,6,ON Semi,AR0341AT,DEF,2.1,3.0,partial_depth_back_dti,0.6,,,standalone,0,0,0,3,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/044_DEF-2401-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/044_DEF-2401-802/onsemi_AR0341AT_DEF-2401-802.pdf
43,DEF-2409-801,geometry_plus_process_evidence,9,6,Samsung,JN5,DEF,0.64,3.9,full_depth_front_dti,,,dual_vertical_transfer_gate,super_qpd,0,0,0,3,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/032_DEF-2409-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/032_DEF-2409-801/Samsung_JN5_DEF-2409-801.pdf; /Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_img_sensor_fc_pkg_2024_2026_a6pf30000000GqhAAE/html/pdfs/035_FCS-2410-836/Summary - Samsung_JN5_DEF-2409-801.pdf
