code,manufacturer,device_name,report_type,readiness_level,readiness_score,candidate_level,pixel_pitch_um,pixel_pitch_source,active_si_um,active_si_source,dti_type,dti_depth_um,dti_depth_source,dti_width_um,photocathode_depth_um,p_well_depth_um,pinning_depth_um,transfer_gate_type,transfer_gate_depth_um,fd_depth_um,optical_stack_um,doping_model_kind,sims_seed_profile,recommended_tcad_profile,recommended_profile_kind,model_json
DEP-2511-801,Samsung,HP5,DEP,sims_seed_ready,93.9,measured_doping_table,0.5,extracted,4.0,extracted,full_depth_front_dti,4.2,extracted,0.0954,4.3,0.4,0.1,dual_vertical_transfer_gate,0.44,0.2,1.5,measured_sims_seed_available,/Users/seongcheoljeong/FDTD/measured_profiles/techinsights_sims_seed/dep_2511_801_samsung_hp5/profile.json,/Users/seongcheoljeong/FDTD/measured_profiles/techinsights_sims_seed/dep_2511_801_samsung_hp5/profile.json,sims_seed_profile,models/dep_2511_801_samsung_hp5.json
DEP-2506-801,Samsung,JNP (S5KJNP),DEP,sims_seed_ready,93.0,measured_doping_table,0.64,extracted,3.8,extracted,full_depth_front_dti,3.8,extracted,0.096,3.7,0.36,0.1,dual_vertical_transfer_gate,0.44,0.25,1.5,measured_sims_seed_available,/Users/seongcheoljeong/FDTD/measured_profiles/techinsights_sims_seed/dep_2506_801_samsung_jnp_s5kjnp/profile.json,/Users/seongcheoljeong/FDTD/measured_profiles/techinsights_sims_seed/dep_2506_801_samsung_jnp_s5kjnp/profile.json,sims_seed_profile,models/dep_2506_801_samsung_jnp_s5kjnp.json
DEP-2504-801,Sony,IMX487-AAMJ-C,DEP,sims_seed_ready,92.2,measured_doping_table,2.74,extracted,3.1,extracted,full_depth_front_dti,3.0,extracted,0.141,2.9,0.5,0.07,vertical_transfer_gate,0.44,0.35,3.9,measured_sims_seed_available,/Users/seongcheoljeong/FDTD/measured_profiles/techinsights_sims_seed/dep_2504_801_sony_imx487_aamj_c/profile.json,/Users/seongcheoljeong/FDTD/measured_profiles/techinsights_sims_seed/dep_2504_801_sony_imx487_aamj_c/profile.json,sims_seed_profile,models/dep_2504_801_sony_imx487_aamj_c.json
DEP-2505-802,SmartSens,SC550XS,DEP,sims_seed_ready,88.7,measured_doping_table,1.0,extracted,2.9,extracted,partial_depth_back_dti,0.18,extracted,0.18,2.8,0.5,0.12,unknown,0.0,0.15,2.1,measured_sims_seed_available,/Users/seongcheoljeong/FDTD/measured_profiles/techinsights_sims_seed/dep_2505_802_smartsens_sc550xs/profile.json,/Users/seongcheoljeong/FDTD/measured_profiles/techinsights_sims_seed/dep_2505_802_smartsens_sc550xs/profile.json,sims_seed_profile,models/dep_2505_802_smartsens_sc550xs.json
DEP-2412-801,Sony,IMX900,DEP,sims_seed_ready,88.7,measured_doping_table,2.25,extracted,6.0,extracted,full_depth_front_dti,1.9,extracted,0.185,6.0,0.6,0.2,unknown,0.0,0.26,3.6,measured_sims_seed_available,/Users/seongcheoljeong/FDTD/measured_profiles/techinsights_sims_seed/dep_2412_801_sony_imx900/profile.json,/Users/seongcheoljeong/FDTD/measured_profiles/techinsights_sims_seed/dep_2412_801_sony_imx900/profile.json,sims_seed_profile,models/dep_2412_801_sony_imx900.json
DEP-2511-802,STMicroelectronics,56G812A1A_CIS,DEP,sims_seed_ready,87.8,measured_doping_table,2.9,extracted,9.7,extracted,full_depth_front_dti,0.48,extracted,0.48,0.55,0.67,0.05,unknown,0.0,0.17,3.6,measured_sims_seed_available,/Users/seongcheoljeong/FDTD/measured_profiles/techinsights_sims_seed/dep_2511_802_stmicroelectronics_56g812a1a_cis/profile.json,/Users/seongcheoljeong/FDTD/measured_profiles/techinsights_sims_seed/dep_2511_802_stmicroelectronics_56g812a1a_cis/profile.json,sims_seed_profile,models/dep_2511_802_stmicroelectronics_56g812a1a_cis.json
DEP-2411-801,OmniVision,OX08D10,DEP,sims_seed_ready,87.8,measured_doping_table,2.1,extracted,3.0,extracted,partial_depth_back_dti,2.3,extracted,0.19,2.7,0.5,0.11,unknown,0.0,0.25,2.5,measured_sims_seed_available,/Users/seongcheoljeong/FDTD/measured_profiles/techinsights_sims_seed/dep_2411_801_omnivision_ox08d10/profile.json,/Users/seongcheoljeong/FDTD/measured_profiles/techinsights_sims_seed/dep_2411_801_omnivision_ox08d10/profile.json,sims_seed_profile,models/dep_2411_801_omnivision_ox08d10.json
DEP-2409-801,Samsung,S5KGNJSP03_CIS,DEP,sims_seed_ready,81.9,measured_doping_table,1.0,extracted,4.2,extracted,full_depth_front_dti,4.1,extracted,0.0879,3.696,0.672,0.1,dual_vertical_transfer_gate,0.44,0.231,1.5,measured_sims_seed_available,/Users/seongcheoljeong/FDTD/measured_profiles/techinsights_sims_seed/dep_2409_801_samsung_s5kgnjsp03_cis/profile.json,/Users/seongcheoljeong/FDTD/measured_profiles/techinsights_sims_seed/dep_2409_801_samsung_s5kgnjsp03_cis/profile.json,sims_seed_profile,models/dep_2409_801_samsung_s5kgnjsp03_cis.json
DEP-2405-801,Samsung,S5K1H1SB_CIS,DEP,structure_ready_high,73.8,geometry_plus_process_evidence,2.1,extracted,2.9,extracted,full_depth_front_dti,2.6,extracted,0.125,2.552,0.464,0.1,vertical_transfer_gate,0.44,0.1595,1.8,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/dep_2405_801_samsung_s5k1h1sb_cis/profile.json,techinsights_proxy_profile,models/dep_2405_801_samsung_s5k1h1sb_cis.json
DEF-2603-801,Samsung,S5K931SX,DEF,structure_ready_high,73.8,geometry_plus_process_evidence,2.2,extracted,7.3,extracted,full_depth_front_dti,7.0,extracted,0.166,6.424,0.8,0.1,vertical_transfer_gate,0.44,0.28,2.7,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2603_801_samsung_s5k931sx/profile.json,techinsights_proxy_profile,models/def_2603_801_samsung_s5k931sx.json
DEP-2103-802,Leopard Imaging Inc,LI-IMX490-GW5400,DEP,structure_ready_high,72.4,geometry_plus_process_evidence,3.0,extracted,3.1,extracted,full_depth_front_dti,2.3,extracted,0.175,2.728,0.496,0.1,vertical_transfer_gate,0.44,0.1705,3.1,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/dep_2103_802_leopard_imaging_inc_li_imx490_gw5400/profile.json,techinsights_proxy_profile,models/dep_2103_802_leopard_imaging_inc_li_imx490_gw5400.json
DEP-2301-801,Sony,IMX758,DEP,structure_ready_high,72.0,geometry_plus_process_evidence,0.7,extracted,4.5,extracted,full_depth_front_dti,3.4,extracted,0.141,3.96,0.72,0.1,vertical_transfer_gate,0.44,0.2475,1.4,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/dep_2301_801_sony_imx758/profile.json,techinsights_proxy_profile,models/dep_2301_801_sony_imx758.json
DEP-2206-801,Sony,IMX662,DEP,structure_ready_high,72.0,geometry_plus_process_evidence,2.9,extracted,6.6,extracted,full_depth_front_dti,0.23,extracted,0.141,5.808,0.8,0.1,dual_vertical_transfer_gate,0.44,0.28,2.6,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/dep_2206_801_sony_imx662/profile.json,techinsights_proxy_profile,models/dep_2206_801_sony_imx662.json
