code,report_type,release_date,analysis_year,manufacturer,device_name,device_type,title,content_title,sensor_modality,pixel_pitch_um,resolution_mp,resolution_x,resolution_y,optical_format,active_si_thickness_um,optical_stack_height_um,cfa_thickness_um,cfa_thickness_min_um,cfa_thickness_max_um,ocl_pitch_um,color_filter_pitch_um,grid_pitch_um,die_area_mm2,die_size_text,package_dimensions_text,cis_foundry,cis_process_nm,isp_process_nm,pixel_beol_metal_pitch_nm,pixel_sharing,pixel_architecture,transistors_per_pixel,subpixels_per_pixel,illumination,shutter,transfer_gate_type,is_stacked,has_dbi,has_dti,dti_type,dti_depth_um,dti_width_um,dti_width_nm,dti_aspect_ratio,dti_fill_material,dti_liner_material,dti_biasing,cfa_pattern,microlens_type,grid_material,metal_stack,has_hdr,has_lofic,has_pdaf,source_html,source_pdf,stack_config,tcad_profile
DEF-1311-801,DEF,2013-11-08T00:00:00.000+00:00,2013,OmniVision,OV07955-E53V-PF,CMOS Image Sensor,OmniVision OV7955 CMOS Image Sensor Device Essentials Folder,,cmos_image_sensor,6.0,,,,"1/3.7""",,5.1,,,,,,,,,,,,,,,standalone,,,,,,,,,,,,,,,,,,,,,,,,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/166_DEF-1311-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/166_DEF-1311-801/OmniVision_OV7955_Device_Essentials_Summary.pdf,/Users/seongcheoljeong/FDTD/sensor_db/generated_stack_configs/def_1311_801_omnivision_ov07955_e53v_pf.json,/Users/seongcheoljeong/FDTD/sensor_db/generated_tcad_profiles/def_1311_801_omnivision_ov07955_e53v_pf/profile.json
DEF-1405-801,DEF,2014-05-09T00:00:00.000+00:00,2014,Melexis,MLX75411,CMOS Image Sensor,Melexis MLX75411 Device Essentials Image Set,,cmos_image_sensor,5.5,,,,"1/3""",,10.0,,,,,,,,,,,,,,,standalone,,,,,,,,,,,,,,,,,,,,,,,,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/164_DEF-1405-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/164_DEF-1405-801/Melexis_MLX75411_Device_Essentials_Summary_DEF-1405-801.pdf,/Users/seongcheoljeong/FDTD/sensor_db/generated_stack_configs/def_1405_801_melexis_mlx75411.json,/Users/seongcheoljeong/FDTD/sensor_db/generated_tcad_profiles/def_1405_801_melexis_mlx75411/profile.json
DEF-1405-802,DEF,2014-05-08T00:00:00.000+00:00,2014,Leica,X1000,CMOS Image Sensor,CMOSIS X1000B Full Frame Format CMOS Image Sensor from Leica M Device Essentials Image Set,,cmos_image_sensor,6.0,,,,,,5.6,,,,,,,,,,,,,,,standalone,,,,,,,,,,,,,,,,,,ocl,,,,,,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/165_DEF-1405-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/165_DEF-1405-802/CMOSIS_X1000B_Device_Essentials_Summary_DEF-1405-802.pdf,/Users/seongcheoljeong/FDTD/sensor_db/generated_stack_configs/def_1405_802_leica_x1000.json,/Users/seongcheoljeong/FDTD/sensor_db/generated_tcad_profiles/def_1405_802_leica_x1000/profile.json
DEF-1406-801,DEF,2014-06-03T00:00:00.000+00:00,2014,E2V Technologies,EV76C570,CMOS Image Sensor,E2V Technologies EV76C570ABT-EQT Device Essentials Summary and Image Set,,cmos_image_sensor,4.5,,,,"1/1.8""",,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/163_DEF-1406-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/163_DEF-1406-801/e2v_EV76C570ABT-EQT_Device_Essentials_Summary_DEF-1406-801.pdf,/Users/seongcheoljeong/FDTD/sensor_db/generated_stack_configs/def_1406_801_e2v_technologies_ev76c570.json,/Users/seongcheoljeong/FDTD/sensor_db/generated_tcad_profiles/def_1406_801_e2v_technologies_ev76c570/profile.json
DEF-1407-802,DEF,2014-07-31T00:00:00.000+00:00,2014,OmniVision,OV10635-N29Y-PB,CMOS Image Sensor,OmniVision OV10635 Device Essentials Image Set and Summary,,cmos_image_sensor,4.2,,1200,800,"1/2.7""",,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/161_DEF-1407-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/161_DEF-1407-802/OV10635_Device_Essentials_Summary_DEF-1407-802.pdf,/Users/seongcheoljeong/FDTD/sensor_db/generated_stack_configs/def_1407_802_omnivision_ov10635_n29y_pb.json,/Users/seongcheoljeong/FDTD/sensor_db/generated_tcad_profiles/def_1407_802_omnivision_ov10635_n29y_pb/profile.json
DEF-1407-803,DEF,2014-07-31T00:00:00.000+00:00,2014,Galaxycore Inc,GC5004,CMOS Image Sensor,GalaxyCore GC5004 Device Essentials Image Set and Summary,,cmos_image_sensor,1.4,,,,,,2.0,,,,,,,,,,,,,,,two_shared,,,,,,,,,,,,,,,,,,,,,,,,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/162_DEF-1407-803.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/162_DEF-1407-803/GalaxyCore_GC5004_Device_Essentials_Summary_DEF-1407-803.pdf,/Users/seongcheoljeong/FDTD/sensor_db/generated_stack_configs/def_1407_803_galaxycore_inc_gc5004.json,/Users/seongcheoljeong/FDTD/sensor_db/generated_tcad_profiles/def_1407_803_galaxycore_inc_gc5004/profile.json
DEF-1408-801,DEF,2014-08-01T00:00:00.000+00:00,2014,OmniVision,OV5670,CMOS Image Sensor,OV5670 PureCel Device Essentials Image Set and Summary,,cmos_image_sensor,1.4,,,,"1/5""",,,,,,,,,,,,,,,,,four_shared,,,,,,,,,,,,,,,,,,,,,,,,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/160_DEF-1408-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/160_DEF-1408-801/OmniVision_OV5670_Device_Essentials_Summary_DEF-1408-801.pdf,/Users/seongcheoljeong/FDTD/sensor_db/generated_stack_configs/def_1408_801_omnivision_ov5670.json,/Users/seongcheoljeong/FDTD/sensor_db/generated_tcad_profiles/def_1408_801_omnivision_ov5670/profile.json
DEF-1412-801,DEF,2014-12-05T00:00:00.000+00:00,2014,Sony,IMX210AQL,CMOS Image Sensor,Sony IMX210 CIS from Sony Alpha a6000 Device Essentials Image Set and Summary,,cmos_image_sensor,3.9,,,,APS-C,,6.8,,,,,,,,,,,,,,,two_shared,,,,,,,,,,,,,,,,,,,,,,,,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/159_DEF-1412-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/159_DEF-1412-801/Sony_IMX210_CIS_from_a6000_Device_Essentials_Summary_DEF-1412-801.pdf,/Users/seongcheoljeong/FDTD/sensor_db/generated_stack_configs/def_1412_801_sony_imx210aql.json,/Users/seongcheoljeong/FDTD/sensor_db/generated_tcad_profiles/def_1412_801_sony_imx210aql/profile.json
DEF-1503-802,DEF,2015-04-24T00:00:00.000+00:00,2015,SmartSens,SC1035,Image Sensor,SmartSens SC1035 Device Essentials Image Set and Summary,,image_sensor,4.0,,,,"1/2.8""",,4.6,,,,,,,,,,,,,,,standalone,4.0,,,,,,,,,,,,,,,,,,,,,,,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/158_DEF-1503-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/158_DEF-1503-802/SmartSen_SC1035_Device_Essentials_Summary_DEF-1503-802.pdf,/Users/seongcheoljeong/FDTD/sensor_db/generated_stack_configs/def_1503_802_smartsens_sc1035.json,/Users/seongcheoljeong/FDTD/sensor_db/generated_tcad_profiles/def_1503_802_smartsens_sc1035/profile.json
DEF-1506-804,DEF,2015-07-31T00:00:00.000+00:00,2015,E2V Technologies,LINCE5M,CMOS Image Sensor,e2v Technologies LINCE 5M Device Essentials Image Set and Summary,,global_shutter_cis,5.0,,,,,,7.1,,,,,,,,,,,,,,,standalone,,,,global,,,,,,,,,,,,,,,,,,,,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/157_DEF-1506-804.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/157_DEF-1506-804/e2v_Lince_5M_Device_Essentials_Summary_DEF-1506-804.pdf,/Users/seongcheoljeong/FDTD/sensor_db/generated_stack_configs/def_1506_804_e2v_technologies_lince5m.json,/Users/seongcheoljeong/FDTD/sensor_db/generated_tcad_profiles/def_1506_804_e2v_technologies_lince5m/profile.json
