simulation_id,company,publication_number,configuration,use_tier,recommended_for_camerae2e,optical_spec_source,focal_length_mm,f_number,half_field_deg,psf_debug_status,psf_highres_status
p0014:intermediate,Canon,US10310255B2,intermediate,highres_psf,1,variable_distance,35.14,3.61,21.24,generated,generated
p0014:telephoto,Canon,US10310255B2,telephoto,raytrace_psf,1,variable_distance,76.8,4.82,10.09,generated,not_attempted
p0014:wide-angle,Canon,US10310255B2,wide-angle,raytrace_psf,1,variable_distance,16.27,2.47,34.88,generated,not_attempted
p0015:intermediate,Canon,US10310255B2,intermediate,raytrace_psf,1,variable_distance,33.3,3.91,22.3,generated,not_attempted
p0015:telephoto,Canon,US10310255B2,telephoto,raytrace_psf,1,variable_distance,73.6,5.76,10.51,generated,not_attempted
p0015:wide-angle,Canon,US10310255B2,wide-angle,raytrace_psf,1,variable_distance,15.6,2.06,36.01,generated,not_attempted
p0016:intermediate,Canon,US10310255B2,intermediate,raytrace_psf,1,variable_distance,34.76,4.0,21.45,generated,not_attempted
p0016:telephoto,Canon,US10310255B2,telephoto,raytrace_psf,1,variable_distance,72.8,5.04,10.63,generated,not_attempted
p0016:wide-angle,Canon,US10310255B2,wide-angle,raytrace_psf,1,variable_distance,15.45,2.06,35.79,generated,not_attempted
p0017:intermediate,Canon,US10310255B2,intermediate,raytrace_psf,1,variable_distance,32.76,4.0,22.63,generated,not_attempted
p0017:telephoto,Canon,US10310255B2,telephoto,raytrace_psf,1,variable_distance,72.8,5.04,10.63,generated,not_attempted
p0017:wide-angle,Canon,US10310255B2,wide-angle,raytrace_psf,1,variable_distance,15.45,2.06,35.79,generated,not_attempted
p0018:intermediate,Canon,US10310255B2,intermediate,raytrace_psf,1,variable_distance,31.78,4.0,23.26,generated,not_attempted
p0018:telephoto,Canon,US10310255B2,telephoto,raytrace_psf,1,variable_distance,72.8,5.04,10.63,generated,not_attempted
p0018:wide-angle,Canon,US10310255B2,wide-angle,raytrace_psf,1,variable_distance,15.45,2.06,35.79,generated,not_attempted
p0019:intermediate,Canon,US10310255B2,intermediate,raytrace_psf,1,variable_distance,31.06,4.12,23.85,generated,not_attempted
p0019:telephoto,Canon,US10310255B2,telephoto,raytrace_psf,1,variable_distance,63.2,5.76,12.49,generated,not_attempted
p0019:wide-angle,Canon,US10310255B2,wide-angle,raytrace_psf,1,variable_distance,15.96,2.47,35.63,generated,not_attempted
p0053:50f,Canon,US11016274B2,50f,proxy_only,0,variable_distance,20.45,1.45,46.54,failed,not_attempted
p0053:closest,Canon,US11016274B2,closest,proxy_only,0,variable_distance,20.26,1.45,46.54,failed,not_attempted
p0053:infinity,Canon,US11016274B2,infinity,proxy_only,0,variable_distance,20.5,1.45,46.54,failed,not_attempted
p0054:50f,Canon,US11016274B2,50f,proxy_only,0,variable_distance,16.36,1.45,52.84,failed,not_attempted
p0054:closest,Canon,US11016274B2,closest,proxy_only,0,variable_distance,16.21,1.45,52.84,failed,not_attempted
p0054:infinity,Canon,US11016274B2,infinity,proxy_only,0,variable_distance,16.4,1.45,52.84,failed,not_attempted
p0055:50f,Canon,US11016274B2,50f,proxy_only,0,variable_distance,14.38,1.83,56.35,failed,not_attempted
p0055:closest,Canon,US11016274B2,closest,proxy_only,0,variable_distance,14.29,1.83,56.35,failed,not_attempted
p0055:infinity,Canon,US11016274B2,infinity,proxy_only,0,variable_distance,14.4,1.83,56.35,failed,not_attempted
p0056:50f,Canon,US11016274B2,50f,proxy_only,0,variable_distance,17.14,1.83,51.58,failed,not_attempted
p0056:closest,Canon,US11016274B2,closest,proxy_only,0,variable_distance,17.06,1.83,51.58,failed,not_attempted
p0056:infinity,Canon,US11016274B2,infinity,proxy_only,0,variable_distance,17.16,1.83,51.58,failed,not_attempted
p0057:50f,Canon,US11016274B2,50f,proxy_only,0,variable_distance,16.0,1.83,53.45,failed,not_attempted
p0057:closest,Canon,US11016274B2,closest,proxy_only,0,variable_distance,15.86,1.83,53.45,failed,not_attempted
p0057:infinity,Canon,US11016274B2,infinity,proxy_only,0,variable_distance,16.04,1.83,53.45,failed,not_attempted
p0058:50f,Canon,US11016274B2,50f,proxy_only,0,variable_distance,17.82,1.7,50.5,failed,not_attempted
p0058:closest,Canon,US11016274B2,closest,proxy_only,0,variable_distance,17.76,1.7,50.5,failed,not_attempted
p0058:infinity,Canon,US11016274B2,infinity,proxy_only,0,variable_distance,17.83,1.7,50.5,failed,not_attempted
p0059:50f,Canon,US11016274B2,50f,proxy_only,0,variable_distance,18.75,1.83,48.99,failed,not_attempted
p0059:closest,Canon,US11016274B2,closest,proxy_only,0,variable_distance,18.52,1.83,48.99,failed,not_attempted
p0059:infinity,Canon,US11016274B2,infinity,proxy_only,0,variable_distance,18.81,1.83,48.99,failed,not_attempted
p0191:intermediate,Canon,US20150316755A1,intermediate,raytrace_psf,1,variable_distance,200.0,4.5,4.45,generated,not_attempted
p0191:telephoto,Canon,US20150316755A1,telephoto,raytrace_psf,1,variable_distance,1000.0,7.4,0.89,generated,not_attempted
p0191:wide-angle,Canon,US20150316755A1,wide-angle,raytrace_psf,1,variable_distance,50.0,4.5,17.28,generated,not_attempted
p0192:intermediate,Canon,US20150316755A1,intermediate,raytrace_psf,1,variable_distance,240.0,4.5,3.71,generated,not_attempted
p0192:telephoto,Canon,US20150316755A1,telephoto,raytrace_psf,1,variable_distance,900.0,7.0,0.99,generated,not_attempted
p0192:wide-angle,Canon,US20150316755A1,wide-angle,raytrace_psf,1,variable_distance,60.0,4.5,14.53,generated,not_attempted
p0193:intermediate,Canon,US20150316755A1,intermediate,raytrace_psf,1,variable_distance,200.0,4.0,4.45,generated,not_attempted
p0193:telephoto,Canon,US20150316755A1,telephoto,raytrace_psf,1,variable_distance,500.0,5.0,1.78,generated,not_attempted
p0193:wide-angle,Canon,US20150316755A1,wide-angle,raytrace_psf,1,variable_distance,50.0,4.0,17.28,generated,not_attempted
p0195:intermediate,Canon,US20150316755A1,intermediate,raytrace_psf,1,variable_distance,500.0,5.0,1.6,generated,not_attempted
p0195:telephoto,Canon,US20150316755A1,telephoto,raytrace_psf,1,variable_distance,1500.0,10.0,0.53,generated,not_attempted
p0195:wide-angle,Canon,US20150316755A1,wide-angle,raytrace_psf,1,variable_distance,50.0,4.5,15.64,generated,not_attempted
p0196:intermediate,Canon,US20150316755A1,intermediate,raytrace_psf,1,variable_distance,400.0,4.5,2.23,generated,not_attempted
p0196:telephoto,Canon,US20150316755A1,telephoto,raytrace_psf,1,variable_distance,800.0,5.6,1.11,generated,not_attempted
p0196:wide-angle,Canon,US20150316755A1,wide-angle,raytrace_psf,1,variable_distance,40.0,4.5,21.24,generated,not_attempted
p0204:intermediate,Canon,US20160195703A1,intermediate,raytrace_psf,1,variable_distance,35.14,3.61,21.24,generated,not_attempted
p0204:telephoto,Canon,US20160195703A1,telephoto,raytrace_psf,1,variable_distance,76.8,4.82,10.09,generated,not_attempted
p0204:wide-angle,Canon,US20160195703A1,wide-angle,raytrace_psf,1,variable_distance,16.27,2.47,34.88,generated,not_attempted
p0205:intermediate,Canon,US20160195703A1,intermediate,raytrace_psf,1,variable_distance,33.3,3.91,22.3,generated,not_attempted
p0205:telephoto,Canon,US20160195703A1,telephoto,raytrace_psf,1,variable_distance,73.6,5.76,10.51,generated,not_attempted
p0205:wide-angle,Canon,US20160195703A1,wide-angle,raytrace_psf,1,variable_distance,15.6,2.06,36.01,generated,not_attempted
p0206:intermediate,Canon,US20160195703A1,intermediate,raytrace_psf,1,variable_distance,34.76,4.0,21.45,generated,not_attempted
p0206:telephoto,Canon,US20160195703A1,telephoto,raytrace_psf,1,variable_distance,72.8,5.04,10.63,generated,not_attempted
p0206:wide-angle,Canon,US20160195703A1,wide-angle,raytrace_psf,1,variable_distance,15.45,2.06,35.79,generated,not_attempted
p0207:intermediate,Canon,US20160195703A1,intermediate,raytrace_psf,1,variable_distance,32.76,4.0,22.63,generated,not_attempted
