x_um,depth_um,donor_cm3,acceptor_cm3
-0.6,0.02,0,50000000000000000
-0.6,0.12,5000000000000000,100000000000000
-0.6,0.5,5000000000000000,100000000000000
-0.6,1.5,5000000000000000,100000000000000
-0.6,2.6,5000000000000000,100000000000000
-0.2,0.02,0,50000000000000000
-0.2,0.12,5000000000000000,100000000000000
-0.2,0.5,5000000000000000,100000000000000
-0.2,1.5,5000000000000000,100000000000000
-0.2,2.6,5000000000000000,100000000000000
0.0,0.02,0,50000000000000000
0.0,0.12,0,20000000000000000
0.0,0.5,0,20000000000000000
0.0,1.5,0,20000000000000000
0.0,2.6,0,20000000000000000
0.2,0.02,0,50000000000000000
0.2,0.12,5000000000000000,100000000000000
0.2,0.5,5000000000000000,100000000000000
0.2,1.5,5000000000000000,100000000000000
0.2,2.6,5000000000000000,100000000000000
0.6,0.02,0,50000000000000000
0.6,0.12,5000000000000000,100000000000000
0.6,0.5,5000000000000000,100000000000000
0.6,1.5,5000000000000000,100000000000000
0.6,2.6,5000000000000000,100000000000000
